Lista	Valor	Valida		Lista 2	Valor	Valida	Raras		Lista 3	Valor	Valida
Abras orthobunyavirus	LISTA 1			abiotrophia	Lista 2	No esta en lista			amphotropic murine leukemia	lista 3	No esta en lista
Abutilon golden mosaic virus	LISTA 1			acacia	Lista 2	No esta en lista	planta		abelson murine leukemia	lista 3	No esta en lista
Abutilon mosaic virus	LISTA 1			acetanaerobacterium	Lista 2	No esta en lista			acinetobacter	lista 3	No esta en lista
Acalypha yellow mosaic virus	LISTA 1			acetivibrio	Lista 2	No esta en lista			acinetobacter baumannii	lista 3	No esta en lista
Acara orthobunyavirus	LISTA 1			acetobacter	Lista 2	No esta en lista			adeno-associated	lista 3	No esta en lista
Acetomicrobium hydrogeniformans	LISTA 1			acetobacter aceti	Lista 2	No esta en lista			adenovirus	lista 3	No esta en lista
Acetomicrobium mobile	LISTA 1			acetobacter lovaniensis	Lista 2	No esta en lista			aeromonas	lista 3	No esta en lista
Acetomicrobium thermoterrenum	LISTA 1			acetobacter pomorum	Lista 2	No esta en lista			aeromonas dhakensis	lista 3	No esta en lista
Achromobacter arsenitoxydans	LISTA 1			acetobacter tropicalis	Lista 2	No esta en lista			aichi	lista 3	No esta en lista
Achromobacter denitrificans	LISTA 1			acetobacteraceae	Lista 2	No esta en lista			akv murine leukemia	lista 3	No esta en lista
Achromobacter insuavis	LISTA 1			acholeplasma	Lista 2	No esta en lista			aleutian mink disease	lista 3	No esta en lista
Achromobacter piechaudii	LISTA 1			acholeplasma laidlawii	Lista 2	No esta en lista			alfalfa	lista 3	No esta en lista
Achromobacter xylosoxidans	LISTA 1			achromobacter	Lista 2	No esta en lista			alfalfa mosaic	lista 3	No esta en lista
Acidianus filamentous virus 1	LISTA 1			achromobacter spanius	Lista 2	No esta en lista			allium	lista 3	No esta en lista
Actinotignum schaalii	LISTA 1			achromobacter xylosoxidans	Lista 2	LISTA 1			alpha satellite	lista 3	No esta en lista
Actinotignum urinale	LISTA 1			acidaminococcus	Lista 2	No esta en lista			alphaherpesvirinae	lista 3	No esta en lista
Advenella kashmirensis	LISTA 1			acidimicrobiales	Lista 2	No esta en lista			alphavirus m1	lista 3	No esta en lista
Advenella mimigardefordensis	LISTA 1			acidithiobacillus	Lista 2	No esta en lista			amapari	lista 3	No esta en lista
Aerococcus christensenii	LISTA 1			acidithiobacillus ferrooxidans	Lista 2	No esta en lista			amblyomma	lista 3	No esta en lista
Aerococcus urinae	LISTA 1			acidobacteria	Lista 2	No esta en lista			amphotropic murine leukemia	lista 3	No esta en lista
Aerococcus urinaeequi	LISTA 1			acidovorax	Lista 2	No esta en lista			anelloviridae	lista 3	No esta en lista
Aerococcus viridans	LISTA 1			acinetobacter	Lista 2	No esta en lista			angelica	lista 3	No esta en lista
African cassava mosaic virus	LISTA 1			acinetobacter baumannii	Lista 2	No esta en lista			anopheles a	lista 3	No esta en lista
