internalId	Name	Mentions
bacteria-9939	helicobacter	2981
bacteria-875	helicobacter pylori	2710
bacteria-4006	escherichia	1156
bacteria-9810	escherichia coli	1070
bacteria-8844	staphylococcus	1018
bacteria-10263	streptococcus	858
bacteria-1703	lactobacillus	780
bacteria-1641	clostridium	778
bacteria-10364	pseudomonas	720
bacteria-2180	staphylococcus aureus	663
bacteria-9328	bacteroides	604
bacteria-1259	salmonella	505
bacteria-8975	bacillus	489
bacteria-4149	fusobacterium	489
bacteria-2768	pseudomonas aeruginosa	487
bacteria-10250	candidate	475
bacteria-11202	enterococcus	445
bacteria-8990	alpha	433
bacteria-10659	klebsiella	402
bacteria-6096	bifidobacterium	396
bacteria-10030	firmicutes	386
bacteria-9293	mycobacterium	348
bacteria-4383	prevotella	339
bacteria-7343	bacteroidetes	330
bacteria-5558	enterobacteriaceae	319
bacteria-6280	fusobacterium nucleatum	287
bacteria-10671	bacilli	279
bacteria-11539	proteobacteria	265
bacteria-60	corynebacterium	244
bacteria-10912	clostridium difficile	232
bacteria-1722	klebsiella pneumoniae	217
bacteria-4264	streptomyces	215
bacteria-6061	mycoplasma	211
bacteria-3301	salmonella typhimurium	194
bacteria-1802	acinetobacter	193
bacteria-6439	bacteroides fragilis	187
bacteria-3377	porphyromonas	187
bacteria-10996	actinobacteria	164
bacteria-7442	listeria	159
bacteria-6818	akkermansia	158
bacteria-2316	chlamydia	158
bacteria-12484	enterobacter	153
bacteria-4341	faecalibacterium	153
bacteria-4631	enterococcus faecalis	146
bacteria-2992	mycobacterium tuberculosis	140
bacteria-5731	neisseria	135
bacteria-12725	gamma	134
bacteria-5837	staphylococcus epidermidis	130
bacteria-735	lachnospiraceae	127
bacteria-5527	listeria monocytogenes	126
bacteria-3423	enterococcus faecium	124
bacteria-3641	haemophilus	121
bacteria-9509	fusobacteria	120
bacteria-660	clostridia	119
bacteria-10856	campylobacter	116
bacteria-688	veillonella	113
bacteria-5218	porphyromonas gingivalis	107
bacteria-7060	actinomyces	106
bacteria-2953	bacillus subtilis	101
bacteria-9507	ruminococcus	101
bacteria-11956	serratia	100
bacteria-9646	peptostreptococcus	98
bacteria-12357	propionibacterium	96
bacteria-11488	proteus	95
bacteria-4098	filamentous	93
bacteria-9307	ruminococcaceae	88
bacteria-7043	chlamydia trachomatis	87
bacteria-712	streptococcus pneumoniae	87
bacteria-4306	eubacterium	86
bacteria-4468	citrobacter	80
bacteria-5894	stenotrophomonas	80
bacteria-6605	akkermansia muciniphila	75
bacteria-11826	roseburia	73
bacteria-3263	salmonella enterica	72
bacteria-1980	nocardia	70
bacteria-11625	faecalibacterium prausnitzii	69
bacteria-11462	clostridiales	67
bacteria-585	lactobacillus casei	65
bacteria-9446	blautia	64
bacteria-8516	gardnerella	63
bacteria-4898	stenotrophomonas maltophilia	63
bacteria-9179	acinetobacter baumannii	62
bacteria-6766	clostridium perfringens	62
bacteria-8864	enterobacter cloacae	60
bacteria-11965	lactobacillus acidophilus	60
bacteria-10722	haemophilus influenzae	59
bacteria-12418	clostridioides	57
bacteria-1800	desulfovibrio	57
bacteria-2400	lactobacillus rhamnosus	57
bacteria-3920	parabacteroides	57
bacteria-5561	streptococcus mutans	57
bacteria-1351	bifidobacterium longum	56
bacteria-10468	serratia marcescens	56
bacteria-3980	clostridioides difficile	55
bacteria-11299	shigella	55
bacteria-5478	rothia	53
bacteria-5172	vibrio	53
bacteria-7619	endophytic	52
bacteria-4819	parvimonas	52
bacteria-1914	treponema	51
bacteria-8819	lactobacillus plantarum	50
bacteria-566	bacillus cereus	49
bacteria-1677	micrococcus	49
bacteria-2173	alistipes	48
bacteria-8530	streptococcus mitis	48
bacteria-2331	streptococcus gallolyticus	45
bacteria-10025	atopobium	44
bacteria-6002	capnocytophaga	44
bacteria-5654	cyanobacteria	44
bacteria-9052	lactococcus	44
bacteria-2854	aeromonas	43
bacteria-4762	glycine	43
bacteria-3029	leptotrichia	42
bacteria-2902	borrelia	41
bacteria-9318	gardnerella vaginalis	41
bacteria-431	streptococcus pyogenes	41
bacteria-2368	megasphaera	40
bacteria-6177	verrucomicrobia	40
bacteria-4344	dialister	38
bacteria-4878	agrobacterium	35
bacteria-8620	chlamydia psittaci	35
bacteria-905	clostridium septicum	35
bacteria-8788	moraxella	35
bacteria-2707	proteus mirabilis	35
bacteria-310	aggregatibacter	34
bacteria-5039	citrobacter rodentium	34
bacteria-11420	lactobacillus reuteri	34
bacteria-5678	brucella	33
bacteria-1449	gemella	33
bacteria-7864	bacteroidaceae	32
bacteria-6047	legionella	32
bacteria-9206	salmonella typhi	32
bacteria-3830	granulicatella	31
bacteria-6699	soybean	31
bacteria-4759	wheat	31
bacteria-7629	yersinia	31
bacteria-8898	alloprevotella	30
bacteria-11732	campylobacter jejuni	30
bacteria-5429	lactobacillus crispatus	30
bacteria-3354	burkholderia	29
bacteria-11677	clostridium butyricum	29
bacteria-10133	coprococcus	29
bacteria-7391	neisseria gonorrhoeae	28
bacteria-6203	sneathia	28
bacteria-4069	streptococcus anginosus	28
bacteria-7297	bifidobacterium bifidum	27
bacteria-2874	bifidobacterium breve	27
bacteria-1292	borrelia burgdorferi	27
bacteria-4650	chlamydia pneumoniae	27
bacteria-10227	gammaproteobacteria	27
bacteria-7918	mycobacterium avium	27
bacteria-12185	mycoplasma hominis	27
bacteria-9799	bartonella	26
