
[Brevibacterium] flavum
Abras orthobunyavirus
Abutilon golden mosaic virus
Abutilon mosaic virus
Acalypha yellow mosaic virus
Acara orthobunyavirus
Acetomicrobium hydrogeniformans
Acetomicrobium mobile
Acetomicrobium thermoterrenum
Achromobacter arsenitoxydans
Achromobacter denitrificans
Achromobacter insuavis
Achromobacter piechaudii
Achromobacter xylosoxidans
Acidianus filamentous virus 1
Actinotignum schaalii
Actinotignum urinale
Advenella kashmirensis
Advenella mimigardefordensis
Aerococcus christensenii
Aerococcus urinae
Aerococcus urinaeequi
Aerococcus viridans
African cassava mosaic virus
Agarivorans albus
Ageratum enation virus
Ageratum leaf curl Cameroon virus
Ageratum leaf curl virus
Ageratum yellow vein China virus
Ageratum yellow vein Hualian virus
Ageratum yellow vein Taiwan virus
Ageratum yellow vein virus
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Aggregatibacter segnis
Aggregatibacter sp. oral taxon 458
Agrobacterium albertimagni
Agrobacterium deltaense
Agrobacterium fabacearum
Agrobacterium fabrum
Agrobacterium genomosp. 13
Agrobacterium genomosp. 2
Agrobacterium genomosp. 3
Agrobacterium genomosp. 5
Agrobacterium larrymoorei
Agrobacterium rhizogenes
Agrobacterium rubi
Agrobacterium salinitolerans
Agrobacterium tumefaciens
Agrobacterium viscosum
Agrobacterium vitis
Agrococcus casei
Agrococcus lahaulensis
Agrococcus pavilionensis
Agromyces cerinus
Agromyces italicus
Agromyces mediolanus
Agromyces subbeticus
Agromyces ulmi
Aino orthobunyavirus
Akabane orthobunyavirus
Akkermansia muciniphila
Alajuela orthobunyavirus
Alcaligenes faecalis
Algicola sagamiensis
Algiphilus aromaticivorans
Algoriphagus boritolerans
Algoriphagus mannitolivorans
Algoriphagus marincola
Algoriphagus terrigena
Algoriphagus vanfongensis
Aliagarivorans marinus
Aliagarivorans taiwanensis
Aliiglaciecola lipolytica
Alkanindiges illinoisensis
Alphaglobulovirus PSV
Alphaglobulovirus PSV2
Alphaglobulovirus TSPV1
Alphaglobulovirus TTSV1
Aminiphilus circumscriptus
Aminomonas paucivorans
Anadyr orthobunyavirus
Anaerophaga thermohalophila
Ananindeua orthobunyavirus
Anhembi orthobunyavirus
Anopheles A orthobunyavirus
Anopheles B orthobunyavirus
Apeu orthobunyavirus
Archaeoglobus fulgidus
Archaeoglobus infectus
Archaeoglobus profundus
Archaeoglobus sulfaticallidus
Archaeoglobus veneficus
Archangium violaceum
Arcobacter nitrofigilis
Arcobacter suis
Arsenicicoccus bolidensis
Atopobium fossor
Atopobium minutum
Atopobium sp. oral taxon 199
Atopobium sp. oral taxon 810
Avian coronavirus
Azohydromonas australica
Azohydromonas lata
Baboon endogenous virus
Bacillus aidingensis
Bacillus altitudinis
Bacillus amyloliquefaciens
Bacillus anthracis
Bacillus atrophaeus
Bacillus atticus
Bacillus badius
Bacillus bombysepticus
Bacillus cereus
Bacillus coahuilensis
Bacillus cytotoxicus
Bacillus grandii
Bacillus inaquosorum
Bacillus infantis
Bacillus licheniformis
Bacillus massilioanorexius
Bacillus methanolicus
Bacillus mojavensis
Bacillus mycoides
Bacillus paralicheniformis
Bacillus pseudomycoides
Bacillus pumilus
Bacillus rossius
Bacillus safensis
Bacillus siamensis
Bacillus smithii
Bacillus sonorensis
Bacillus spizizenii
Bacillus stratosphericus
Bacillus subtilis
Bacillus tequilensis
Bacillus thuringiensis
Bacillus toyonensis
Bacillus vallismortis
Bacillus velezensis
Bacillus wiedmannii
Bacteroides acidifaciens
Bacteroides caccae
Bacteroides cellulosilyticus
Bacteroides clarus
Bacteroides coprosuis
Bacteroides eggerthii
Bacteroides faecichinchillae
Bacteroides faecis
Bacteroides finegoldii
Bacteroides fluxus
Bacteroides fragilis
Bacteroides galacturonicus
Bacteroides gallinarum
Bacteroides graminisolvens
Bacteroides helcogenes
Bacteroides heparinolyticus
Bacteroides intestinalis
Bacteroides nordii
Bacteroides oleiciplenus
Bacteroides ovatus
Bacteroides propionicifaciens
Bacteroides pyogenes
Bacteroides reticulotermitis
Bacteroides rodentium
Bacteroides salyersiae
Bacteroides sp
Bacteroides stercorirosoris
Bacteroides stercoris
Bacteroides thetaiotaomicron
Bacteroides timonensis
Bacteroides uniformis
Bacteroides xylanisolvens
Bakau orthobunyavirus
Bat gammaretrovirus
Batai orthobunyavirus
Batama orthobunyavirus
Bean golden mosaic virus
Bean golden yellow mosaic virus
Beggiatoa alba
Begomovirus sp. CR-2004
Bellavista orthobunyavirus
Beluga whale coronavirus SW1
Benevides orthobunyavirus
Bergeyella zoohelcum
Bertioga orthobunyavirus
Beutenbergia cavernae
Bhargavaea cecembensis
Bhendi yellow vein Delhi virus
