internalId	Name	Mentions
virus-19922	4070a amphotropic murine leukemia	1
virus-54756	abelson murine leukemia	19
virus-2543	acinetobacter	193
virus-49719	acinetobacter baumannii	62
virus-19603	adeno-associated	77
virus-2932	adenovirus	728
virus-22341	aeromonas	43
virus-770	aeromonas dhakensis	1
virus-44711	aichi	2
virus-24474	akv murine leukemia	2
virus-61531	aleutian mink disease	1
virus-60569	alfalfa	6
virus-50434	alfalfa mosaic	2
virus-12664	allium	15
virus-12893	alpha satellite	1
virus-25680	alphaherpesvirinae	1
virus-38519	alphavirus m1	1
virus-64377	amapari	1
virus-35377	amblyomma	1
virus-10971	amphotropic murine leukemia	6
virus-46850	anelloviridae	9
virus-49390	angelica	3
virus-22691	anopheles a	3
virus-15049	antarctic	3
virus-8832	apis mellifera	2
virus-33327	apium	1
virus-34540	aquabirnavirus	1
virus-66583	arachis	1
virus-58906	archaeal	14
virus-1712	arenavirus	3
virus-39380	aroa	2
virus-42180	artemisia	3
virus-15118	asparagus	1
virus-72347	astrovirus	8
virus-1819	atlantic salmon swim bladder sarcoma	1
virus-34215	autographa californica multiple nucleopolyhedrovirus	1
virus-71371	autographa californica nuclear polyhedrosis	2
virus-69966	avian adenovirus	6
virus-65349	avian adenovirus celo	1
virus-3992	avian bornavirus	3
virus-16777	avian carcinoma	1
virus-58285	avian endogenous	1
virus-18674	avian erythroblastosis	22
virus-52862	avian leukemia	13
virus-42167	avian leukosis	150
virus-36736	avian metapneumovirus	1
virus-73683	avian myeloblastosis	33
virus-33138	avian myeloblastosis-associated	1
virus-22840	avian myelocytomatosis	10
virus-12555	avian polyomavirus	2
virus-10397	avian reovirus	1
virus-66804	avian retrovirus	14
virus-35071	avian sarcoma	120
virus-53167	avipoxvirus	1
virus-13893	b component	1
virus-34872	b19	19
virus-43333	baboon reovirus	1
virus-7212	bacilladnavirus	1
virus-9460	bacillus anthracis	14
virus-4196	bacillus subtilis	101
virus-54543	bacteriophage	83
virus-68302	bacteriophage lambda	3
